Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
Industria perpunuese,Shoqëri akcionare,KAMENICË,353.76,265.22
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GLLOGOC,312.39,252.52
"Artet, Argetimi dhe rekreacioni",Individual,GRAÇANICË,170.0,170.0
Aktivitetet e tjera sherbyese,OJQ,FERIZAJ,355.72,308.19
Arsimi,Individual,PRISHTINË,375.56,224.15
"Aktivitetet profesionale, shkencore dhe teknike",Organizata Buxhetore,GJAKOVË,99.38,78.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,ISTOG,278.05,219.92
Akomodimi dhe sherbimi ushqimor,Individual,KAMENICË,186.77,189.67
Aktivitetet e tjera sherbyese,Individual,SHTIME,242.0,242.5
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,OBILIQ,331.79,228.57
Transporti dhe magazinimi,SH.P.K.,LIPJAN,352.19,361.88
Industria nxjerrese,SH.P.K.,LIPJAN,389.71,443.0
Mungon aktiviteti,OJQ,DEÇAN,212.5,337.86
Industria perpunuese,Ortakëria e përgj.,KAÇANIK,312.5,325.0
Ndertimtaria,SH.P.K.,PEJË,382.98,354.67
Sherbimet administrative dhe mbeshtetese,Individual,VUSHTRRI,166.99,170.0
Transporti dhe magazinimi,SH.P.K.,KAMENICË,215.83,206.67
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,GJILAN,306.65,366.8
"Aktivitetet profesionale, shkencore dhe teknike",Individual,FUSHË KOSOVË,299.71,341.66
Arsimi,Individual,GLLOGOC,125.0,161.13
Informimi dhe komunikimi,SH.P.K.,SKENDERAJ,389.0,328.15
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Ortakëria e përgj.,SKENDERAJ,170.0,170.0
Informimi dhe komunikimi,Individual,RAHOVEC,350.0,208.71
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,KLINË,276.67,207.95
Industria nxjerrese,SH.P.K.,DEÇAN,327.58,272.91
Aktivitetet e patundshmerise,Individual,GJILAN,283.33,170.0
"Aktivitetet profesionale, shkencore dhe teknike",Shoqëri akcionare,OBILIQ,70.0,50.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,GJAKOVË,220.58,243.71
"Aktivitetet profesionale, shkencore dhe teknike",Ndërmarrje shoq.,PRISHTINË,523.81,215.32
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,MITROVICË,369.92,247.06
Industria perpunuese,Individual,ZUBIN POTOK,280.85,312.73
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,KAMENICË,209.58,193.39
Arsimi,SH.P.K.,ISTOG,148.0,232.5
Industria nxjerrese,SH.P.K.,DEÇAN,333.3,272.91
Ndertimtaria,Individual,PEJË,261.46,256.77
Industria perpunuese,SH.P.K.,DRAGASH,826.88,551.76
Transporti dhe magazinimi,SH.P.K.,RAHOVEC,292.59,275.0
Sherbimet administrative dhe mbeshtetese,Individual,PRIZREN,234.51,279.25
Industria nxjerrese,Individual,MITROVICË,273.33,180.0
Transporti dhe magazinimi,Individual,GLLOGOC,239.99,238.09
Aktivitetet e patundshmerise,Ndërmarrje pub.,MITROVICË,206.72,214.94
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,PEJË,551.82,513.24
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,ISTOG,340.0,300.0
Bujqesia;Pylltaria dhe Peshkimi,Shoqëri akcionare,MITROVICË,656.67,376.23
Informimi dhe komunikimi,SH.P.K.,DEÇAN,369.66,377.25
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,PEJË,682.54,571.43
Person Fizik,Person fizik,HANI I ELEZIT,415.18,344.76
Industria nxjerrese,SH.P.K.,ZUBIN POTOK,170.0,50.0
Ndertimtaria,SH.P.K.,KAÇANIK,370.04,339.85
Industria perpunuese,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,199.38,230.0
Aktivitetet financiare dhe te sigurimit,SH.P.K.,FERIZAJ,303.85,273.65
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,RAHOVEC,332.44,266.67
Arsimi,SH.P.K.,PRIZREN,244.72,265.73
Aktivitetet e tjera sherbyese,Individual,PEJË,208.05,179.54
Transporti dhe magazinimi,Individual,VUSHTRRI,200.58,193.16
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GLLOGOC,500.0,170.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,LIPJAN,310.59,540.1
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,VUSHTRRI,203.18,171.77
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GLLOGOC,293.01,217.18
Informimi dhe komunikimi,Individual,PEJË,224.46,171.95
Informimi dhe komunikimi,Ortakëria e përgj.,FERIZAJ,342.77,544.0
Informimi dhe komunikimi,Individual,SUHAREKË,456.42,324.15
"Artet, Argetimi dhe rekreacioni",Individual,FERIZAJ,207.69,259.0
Arsimi,OJQ,GJAKOVË,295.19,302.8
Ndertimtaria,SH.P.K.,ZVEÇAN,191.82,200.0
Industria perpunuese,SH.P.K.,DEÇAN,430.78,209.19
Akomodimi dhe sherbimi ushqimor,Individual,PODUJEVË,188.4,203.38
Arsimi,Individual,PARTESH,150.0,265.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,OBILIQ,290.5,237.28
Bujqesia;Pylltaria dhe Peshkimi,Individual,DRAGASH,293.79,190.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,FUSHË KOSOVË,358.89,296.56
Aktivitetet financiare dhe te sigurimit,Individual,VUSHTRRI,407.15,342.42
Aktivitetet financiare dhe te sigurimit,Individual,DEÇAN,373.97,270.39
Arsimi,Individual,KAÇANIK,150.0,213.75
Arsimi,SH.P.K.,RAHOVEC,170.0,170.0
Ndertimtaria,SH.P.K.,RAHOVEC,349.33,490.22
Sherbimet administrative dhe mbeshtetese,Individual,GRAÇANICË,270.94,200.0
Aktivitetet e tjera sherbyese,OJQ,MITROVICË VERIORE,209.53,288.9
Person Fizik,Person fizik,RAHOVEC,370.69,272.46
Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,177.39,183.33
Ndertimtaria,SH.P.K.,HANI I ELEZIT,378.09,426.47
Arsimi,Individual,VUSHTRRI,115.0,228.67
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,MALISHEVË,178.36,204.85
Arsimi,SH.P.K.,VITI,155.0,198.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,KLINË,410.42,213.26
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KAMENICË,230.05,224.02
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,HANI I ELEZIT,649.47,394.24
Aktivitetet e tjera sherbyese,OJQ,LIPJAN,423.14,338.88
Mungon aktiviteti,OJQ,KLINË,314.26,342.93
Aktivitetet financiare dhe te sigurimit,SH.P.K.,VITI,130.0,200.0
Industria nxjerrese,SH.P.K.,KAMENICË,250.0,170.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,FERIZAJ,367.98,217.45
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,KLINË,170.0,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,LIPJAN,255.14,214.02
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,HANI I ELEZIT,334.66,150.12
Aktivitetet e patundshmerise,SH.P.K.,PRIZREN,477.55,460.86
Sherbimet administrative dhe mbeshtetese,SH.P.K.,MITROVICË,344.32,207.76
Ndertimtaria,SH.P.K.,KAMENICË,393.87,293.91
"Aktivitetet profesionale, shkencore dhe teknike",Individual,SHTËRPCË,235.0,400.0
Aktivitetet e tjera sherbyese,OJQ,MITROVICË,682.6,633.67
Industria perpunuese,Ndërmarrje shoq.,PRISHTINË,267.98,314.29
"Artet, Argetimi dhe rekreacioni",SH.P.K.,PRIZREN,423.1,261.3
Ndertimtaria,Individual,KAÇANIK,192.63,180.0
Aktivitetet e patundshmerise,SH.P.K.,GJILAN,260.83,245.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,MALISHEVË,385.93,280.0
Aktivitetet e tjera sherbyese,OJQ,NOVOBËRDË,267.01,280.53
"Aktivitetet profesionale, shkencore dhe teknike",Individual,VITI,154.85,236.06
Mungon aktiviteti,OJQ,VUSHTRRI,251.12,301.13
"Artet, Argetimi dhe rekreacioni",Individual,GJAKOVË,235.43,242.67
"Aktivitetet profesionale, shkencore dhe teknike",Zyra e Përfaqësisë në Kosovë,PRISHTINË,637.72,531.58
Transporti dhe magazinimi,Individual,HANI I ELEZIT,519.89,200.0
Industria perpunuese,Individual,ISTOG,217.74,181.54
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,DEÇAN,420.32,421.39
Industria nxjerrese,SH.P.K.,LIPJAN,367.29,500.0
Informimi dhe komunikimi,SH.P.K.,FERIZAJ,679.05,438.2
Aktivitetet e tjera sherbyese,OJQ,GJILAN,206.37,254.92
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,LEPOSAVIQ,205.83,221.43
Transporti dhe magazinimi,Individual,ISTOG,200.02,193.47
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,ISTOG,400.89,328.2
Bujqesia;Pylltaria dhe Peshkimi,Individual,MITROVICË,212.5,180.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SHTIME,186.67,170.0
Ndertimtaria,SH.P.K.,ISTOG,431.36,276.9
Ndertimtaria,SH.P.K.,MITROVICË VERIORE,311.57,300.0
Mungon aktiviteti,OJQ,ISTOG,176.67,330.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,VUSHTRRI,296.81,219.34
Transporti dhe magazinimi,Individual,DRAGASH,222.14,170.0
Ndertimtaria,Individual,SHTIME,255.72,242.91
Industria nxjerrese,SH.P.K.,DEÇAN,332.61,272.91
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,FUSHË KOSOVË,319.89,217.04
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,OBILIQ,390.74,244.78
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,SHTIME,229.55,190.67
Industria nxjerrese,SH.P.K.,GJILAN,257.82,116.96
"Artet, Argetimi dhe rekreacioni",SH.P.K.,KLINË,280.49,208.6
"Aktivitetet profesionale, shkencore dhe teknike",Individual,OBILIQ,262.04,328.15
Sherbimet administrative dhe mbeshtetese,SH.P.K.,DRAGASH,298.29,300.0
"Artet, Argetimi dhe rekreacioni",Individual,GJAKOVË,248.57,249.79
Industria perpunuese,Individual,DEÇAN,310.02,265.43
Ndertimtaria,SH.P.K.,RAHOVEC,369.12,279.18
Person Fizik,Person fizik,ISTOG,240.3,310.79
Industria perpunuese,Individual,FUSHË KOSOVË,285.68,239.57
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,RAHOVEC,236.36,233.33
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,FUSHË KOSOVË,550.34,489.88
Aktivitetet e tjera sherbyese,Individual,OBILIQ,227.0,235.59
Arsimi,Individual,PRIZREN,170.81,236.39
Aktivitetet financiare dhe te sigurimit,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,386.87,392.06
"Aktivitetet profesionale, shkencore dhe teknike",Shoqëri akcionare,PRISHTINË,578.65,485.56
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,DRAGASH,366.93,283.76
Industria perpunuese,Individual,LIPJAN,203.21,158.87
Bujqesia;Pylltaria dhe Peshkimi,Individual,GJAKOVË,216.22,210.79
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,SUHAREKË,506.91,355.36
"Aktivitetet profesionale, shkencore dhe teknike",Individual,FUSHË KOSOVË,251.77,266.4
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,GJAKOVË,185.0,180.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,FUSHË KOSOVË,496.36,547.06
"Artet, Argetimi dhe rekreacioni",SH.P.K.,KLINË,170.0,170.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem, Konsorcium,PRISHTINË,450.0,300.0
Aktivitetet financiare dhe te sigurimit,Individual,PEJË,183.33,285.43
Sherbimet administrative dhe mbeshtetese,Individual,MITROVICË,336.39,278.49
Aktivitetet financiare dhe te sigurimit,SH.P.K.,LIPJAN,170.0,170.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,FERIZAJ,242.17,192.81
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,PRISHTINË,513.49,432.43
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,VUSHTRRI,715.95,444.38
Ndertimtaria,Shoqëri akcionare,VUSHTRRI,537.54,532.9
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,RAHOVEC,190.0,202.25
Informimi dhe komunikimi,Ortakëria e përgj.,FUSHË KOSOVË,478.31,450.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,FUSHË KOSOVË,319.57,301.09
Industria perpunuese,Individual,DRAGASH,208.69,220.34
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,ZVEÇAN,170.0,260.0
Aktivitetet financiare dhe te sigurimit,SH.P.K.,FERIZAJ,421.57,402.79
Bujqesia;Pylltaria dhe Peshkimi,Individual,GRAÇANICË,248.05,183.33
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GLLOGOC,538.77,355.08
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PODUJEVË,250.0,170.0
Aktivitetet e tjera sherbyese,Individual,ISTOG,278.98,241.22
Informimi dhe komunikimi,Individual,SUHAREKË,315.5,296.38
Akomodimi dhe sherbimi ushqimor,SH.P.K.,ISTOG,216.09,257.44
Industria perpunuese,SH.P.K.,PODUJEVË,314.1,261.49
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,GLLOGOC,215.8,215.8
"Artet, Argetimi dhe rekreacioni",Individual,KLINË,517.15,270.94
Sherbimet administrative dhe mbeshtetese,Individual,GJAKOVË,400.18,369.96
Arsimi,Organizata Buxhetore,PRISHTINË,627.71,488.65
Bujqesia;Pylltaria dhe Peshkimi,Individual,PRIZREN,218.93,206.9
Industria nxjerrese,Individual,DEÇAN,200.0,200.0
Aktivitetet e tjera sherbyese, Sindikatat,PRISHTINË,154.61,116.22
Akomodimi dhe sherbimi ushqimor,Individual,SHTIME,184.84,170.0
"Artet, Argetimi dhe rekreacioni",Individual,KLINË,343.31,200.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLLOKOT,266.67,366.67
Aktivitetet financiare dhe te sigurimit,OJQ,GJAKOVË,482.1,419.01
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,LEPOSAVIQ,200.0,250.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,MITROVICË,279.57,295.69
Informimi dhe komunikimi,Individual,ISTOG,349.79,190.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,OBILIQ,554.1,479.85
Aktivitetet e tjera sherbyese,OJQ,FERIZAJ,737.56,515.67
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,SUHAREKË,242.5,195.0
Bujqesia;Pylltaria dhe Peshkimi,Shoqëri akcionare,MITROVICË,705.0,376.23
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GLLOGOC,300.0,260.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GJAKOVË,200.0,185.0
"Artet, Argetimi dhe rekreacioni",Individual,PRISHTINË,258.75,372.4
"Artet, Argetimi dhe rekreacioni",Individual,DEÇAN,257.9,300.0
Transporti dhe magazinimi,SH.P.K.,LIPJAN,343.18,321.04
Sherbimet administrative dhe mbeshtetese,Individual,PODUJEVË,285.89,280.83
Ndertimtaria,SH.P.K.,VUSHTRRI,416.94,358.29
Arsimi,Organizata Buxhetore,GJAKOVË,500.0,200.0
Arsimi,OJQ,GJAKOVË,372.64,320.2
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,HANI I ELEZIT,248.39,221.33
Sherbimet administrative dhe mbeshtetese,Individual,VUSHTRRI,218.89,215.54
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,VUSHTRRI,130.0,200.0
Ndertimtaria,SH.P.K.,SHTËRPCË,292.7,185.0
Mungon aktiviteti,Organizata Buxhetore,KAMENICË,553.78,465.38
Sherbimet administrative dhe mbeshtetese,SH.P.K.,VUSHTRRI,632.79,395.43
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GRAÇANICË,315.63,276.0
Aktivitetet e tjera sherbyese,OJQ,PODUJEVË,342.12,282.55
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FUSHË KOSOVË,398.1,325.02
Sherbimet administrative dhe mbeshtetese,Individual,VUSHTRRI,188.33,242.06
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,PEJË,342.83,300.0
Aktivitetet e tjera sherbyese,SH.P.K.,MITROVICË,286.19,252.14
Informimi dhe komunikimi,SH.P.K.,ISTOG,202.0,250.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,VITI,184.17,213.33
Aktivitetet financiare dhe te sigurimit,Individual,KLINË,283.68,350.0
Akomodimi dhe sherbimi ushqimor,Individual,ZUBIN POTOK,150.0,150.0
Industria nxjerrese,SH.P.K.,PEJË,273.66,225.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,ISTOG,192.8,191.77
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,FERIZAJ,249.15,200.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KAMENICË,280.54,266.04
Industria perpunuese,Individual,SHTIME,260.71,232.98
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PEJË,356.8,285.02
Transporti dhe magazinimi,SH.P.K.,VITI,248.58,219.07
Mungon aktiviteti,SH.P.K.,PRIZREN,237.72,250.64
Transporti dhe magazinimi,Individual,ISTOG,200.44,194.4
Aktivitetet e trupave dhe organizatave nderkombetare,OJQ,PRIZREN,238.1,253.97
Aktivitetet e tjera sherbyese,Individual,MALISHEVË,181.67,180.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SHTËRPCË,174.24,213.67
Industria perpunuese,Kompani e huaj,FERIZAJ,547.78,344.68
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,VITI,223.6,350.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,MITROVICË,148.12,154.5
Akomodimi dhe sherbimi ushqimor,SH.P.K.,LIPJAN,318.34,356.68
Bujqesia;Pylltaria dhe Peshkimi,Kooperativa Bujq.,PRISHTINË,200.0,200.0
Arsimi,Individual,VUSHTRRI,115.0,158.38
"Artet, Argetimi dhe rekreacioni",Individual,SHTIME,170.0,170.0
"Artet, Argetimi dhe rekreacioni",Ortakëria e përgj.,PRISHTINË,146.67,180.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PODUJEVË,240.27,259.07
Sherbimet administrative dhe mbeshtetese,SH.P.K.,LIPJAN,286.26,222.17
Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,200.0,173.89
"Artet, Argetimi dhe rekreacioni",Individual,RAHOVEC,225.0,230.35
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,KAÇANIK,253.33,223.53
Arsimi,Individual,OBILIQ,170.0,185.0
Aktivitetet e tjera sherbyese,SH.P.K.,FUSHË KOSOVË,176.67,177.14
Arsimi,SH.P.K.,LIPJAN,520.82,519.2
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,MITROVICË,263.75,200.0
Akomodimi dhe sherbimi ushqimor,Individual,RAHOVEC,187.32,192.64
Transporti dhe magazinimi,SH.P.K.,GJILAN,309.44,304.74
Aktivitetet financiare dhe te sigurimit,Individual,GLLOGOC,356.76,328.15
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GJAKOVË,343.17,493.82
Bujqesia;Pylltaria dhe Peshkimi,Individual,GJAKOVË,239.45,242.5
Bujqesia;Pylltaria dhe Peshkimi,Ndërmarrje pub.,PRIZREN,163.44,163.44
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Kompani e huaj,FUSHË KOSOVË,235.5,309.0
Aktivitetet e tjera sherbyese,OJQ,KLINË,640.71,80.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,ISTOG,266.09,237.07
Transporti dhe magazinimi,SH.P.K.,GLLOGOC,327.06,200.0
Informimi dhe komunikimi,SH.P.K.,LIPJAN,350.67,240.18
"Aktivitetet profesionale, shkencore dhe teknike",Individual,GRAÇANICË,277.86,300.0
Industria nxjerrese,SH.P.K.,SKENDERAJ,522.3,358.13
Informimi dhe komunikimi,Ortakëria e përgj.,FERIZAJ,295.71,198.1
Aktivitetet e tjera sherbyese,Individual,LIPJAN,168.12,165.29
"Aktivitetet profesionale, shkencore dhe teknike",Individual,VITI,247.3,345.43
Industria perpunuese,Shoqëri akcionare,KAMENICË,309.85,251.3
Transporti dhe magazinimi,SH.P.K.,VUSHTRRI,179.38,236.67
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,KLINË,332.16,211.76
Transporti dhe magazinimi,SH.P.K.,PEJË,343.92,342.24
Aktivitetet e tjera sherbyese, Bashkësi Fetare,PEJË,393.49,230.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,MITROVICË VERIORE,177.27,168.5
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GLLOGOC,278.67,254.52
Transporti dhe magazinimi,Ortakëria e përgj.,PODUJEVË,340.0,200.0
"Aktivitetet profesionale, shkencore dhe teknike",Individual,DEÇAN,329.85,308.91
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MALISHEVË,350.74,283.89
Industria perpunuese,SH.P.K.,JUNIK,524.04,423.69
Industria perpunuese,Ndërmarrje shoq.,PRISHTINË,303.05,371.43
Mungon aktiviteti,OJQ,KLINË,328.62,339.12
Aktivitetet e tjera sherbyese, Konsorcium,PRISHTINË,756.73,400.61
Ndertimtaria,SH.P.K.,MALISHEVË,299.58,241.48
Aktivitetet e tjera sherbyese,Individual,PARTESH,170.0,170.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,FUSHË KOSOVË,375.14,566.67
Mungon aktiviteti,Projekt,PRISHTINË,133.46,353.62
Industria nxjerrese,SH.P.K.,VITI,460.17,416.45
Industria perpunuese,Ortakëria e përgj.,GJAKOVË,288.5,260.0
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Shoqëri akcionare,HANI I ELEZIT,335.14,150.12
Sherbimet administrative dhe mbeshtetese,SH.P.K.,MITROVICË,364.57,346.67
Arsimi,SH.P.K.,OBILIQ,427.49,573.94
Aktivitetet e tjera sherbyese,OJQ,GJILAN,300.0,600.0
Informimi dhe komunikimi,SH.P.K.,ISTOG,248.64,344.76
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",SH.P.K.,FERIZAJ,678.73,538.09
Arsimi,Individual,GRAÇANICË,103.61,58.48
Person Fizik,Person fizik,KLINË,350.75,307.93
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,MITROVICË,282.24,204.68
Person Fizik,Person fizik,SKENDERAJ,308.37,190.75
Transporti dhe magazinimi,Shoqëri akcionare,GJILAN,494.48,474.76
Person Fizik,Person fizik,SKENDERAJ,319.9,279.53
Aktivitetet financiare dhe te sigurimit,Shoqëri akcionare,GRAÇANICË,496.22,400.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,FUSHË KOSOVË,200.0,185.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KAMENICË,276.47,266.91
Akomodimi dhe sherbimi ushqimor,SH.P.K.,PODUJEVË,250.42,329.86
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KAMENICË,228.67,197.1
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,SKENDERAJ,328.57,332.8
Sherbimet administrative dhe mbeshtetese,Individual,PEJË,253.78,280.5
Aktivitetet e tjera sherbyese, Bashkësi Fetare,PRISHTINË,396.3,357.62
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,PRIZREN,653.17,290.2
"Aktivitetet profesionale, shkencore dhe teknike",Individual,FUSHË KOSOVË,249.78,253.77
Arsimi,Individual,MITROVICË,201.16,188.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,DEÇAN,402.62,447.24
Arsimi,Individual,PEJË,169.26,199.93
Industria nxjerrese,SH.P.K.,PEJË,332.7,259.38
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRIZREN,360.02,275.52
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,JUNIK,289.23,248.76
Sherbimet administrative dhe mbeshtetese,Individual,FUSHË KOSOVË,363.81,500.44
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,VUSHTRRI,675.98,424.26
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GJILAN,609.97,258.18
Aktivitetet financiare dhe te sigurimit,SH.P.K.,SUHAREKË,457.0,304.65
Ndertimtaria,SH.P.K.,PODUJEVË,474.28,465.32
Arsimi,Organizata Buxhetore,PEJË,395.0,221.43
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRIZREN,337.37,343.53
Sherbimet administrative dhe mbeshtetese,SH.P.K.,DEÇAN,378.79,200.0
Arsimi,OJQ,GJAKOVË,259.52,286.62
Aktivitetet e patundshmerise,OJQ,PRISHTINË,649.79,350.51
Sherbimet administrative dhe mbeshtetese,Individual,ISTOG,300.0,182.89
Akomodimi dhe sherbimi ushqimor,SH.P.K.,LIPJAN,440.79,467.2
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GJILAN,296.78,229.21
Ndertimtaria,Individual,GLLOGOC,349.36,234.55
Informimi dhe komunikimi,SH.P.K.,MALISHEVË,282.86,350.0
Mungon aktiviteti,Organizata Buxhetore,GJILAN,291.63,332.8
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GJILAN,293.27,217.53
Person Fizik,Person fizik,PEJË,294.66,261.38
"Artet, Argetimi dhe rekreacioni",OJQ,FERIZAJ,343.33,487.42
Ndertimtaria,Kompani e huaj,PRISHTINË,649.82,517.33
Ndertimtaria,SH.P.K.,SHTËRPCË,257.67,170.0
